Name,Year,Director,خفن,Type,Animation,Comment,URL,Casts
"Monster, inc",2001,Bob Dahlin,,Movie,Is Animation,,https://www.imdb.com//title/tt0091544/?ref_=fn_al_tt_1,"Donald Grant, Denise DuBarry, Claude Akins, Howard Duff, Henry Gibson, Donald Moffat, Paul Dooley, John Carradine, Jesse White, Frank Ashmore, Paul Walker, Stella Stevens, Kevin Peter Hall, Fergie, Ritchie Montgomery, Arthur Berggren, Daryle Ann Lindley, Gordon Metcalfe, David Anthony, Annie Glynn, Arlee Reed, James Arone, Andrew Cofrin, Benny Baker, Doc Duhame, Jonna Lee, Arthur Taxier, Archie Lang, Clare Torao, John Walsh, Wycliffe Young, Paul Latchaw, David McCharen, Patricia Richarde, Carole Kean, Jack Tate, Sheldon Feldner, Terrence Beasor, Katherine Lyons, Jack Shearer, Richie Egan, Jonathan Aluzas, Brad Kesten, Evan Arnold, Corky Pigeon, Stephanie White, Kenneth Kessler, William Kirksey, Kathleen McGrath, Paul McIsaac"
Monsters vs. Aliens,2009,"Rob Letterman, Conrad Vernon",,Movie,Is Animation,,https://www.imdb.com//title/tt0892782/?ref_=fn_al_tt_1,"Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett, Kiefer Sutherland, Rainn Wilson, Stephen Colbert, Paul Rudd, Julie White, Jeffrey Tambor, Amy Poehler, Ed Helms, Renée Zellweger, John Krasinski, Sean Bishop, Rich Dietl, Stephen Kearin, Rob Letterman, Tom McGrath, Chris Miller, Mike Mitchell, Kent Osborne, Latifa Ouaou, Geoffrey Pomeroy, David P. Smith, Lisa Stewart, Conrad Vernon"
Open season,2006,"Roger Allers, Jill Culton, Anthony Stacchi",,Movie,Is Animation,,https://www.imdb.com//title/tt0400717/?ref_=fn_al_tt_1,"Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing, Billy Connolly, Georgia Engel, Jon Favreau, Jane Krakowski, Gordon Tootoosis, Patrick Warburton, Cody Cameron, Nika Futterman, Danny Mann, Jack McGee, Michelle Murdocca, Fergal Reilly, Maddie Taylor, Kirk Baily, Jack Blessing, Ranjani Brow, David Cowgill, Caitlin Cutt, Elisa Gabrielli, Jackie Gonneau, Wendy Hoffman, Scott Menville, Renee Robert, André Sogliuzzo, John Hans Tester"
Paprika,2006,Tinto Brass,*,Movie,Is Animation,,https://www.imdb.com//title/tt0098063/?ref_=fn_al_tt_1,"Debora Caprioglio, Stéphane Ferrara, Martine Brochard, Stéphane Bonnet, Rossana Gavinel, Renzo Rinaldi, Nina Soldano, Clara Algranti, Luciana Cirenei, John Steiner, Valentine Demy, Luigi Laezza, Riccardo Garrone, Paul Muller, Clarita Gatto, Osiride Pevarello, Debora Vernetti, Elisabeth Kaza, Elisabetta Lupetti, Gabriella De Baggi, Carla Salerno, Milly Corinaldi, Maria Cristina Mastrangeli, Rossella Pezzullo, Tiziana D'Arcangelo, Clotilde De Spirito, Alessandra Bonarota, Gianni Demartiis, Hella Estaire, Andrea Aureli, Debora Calì, Jacopo Gualtieri, Marilena Trifone, Domiziano Arcangeli, Laura Piattella, Eolo Capritti, Carla Solaro, Alfredo Quadrelli, Roberta Sarazzi, Franco Senika, M. Jose Da Silva, Felice Leveratto, Daniela Fedke, Libero Sansavini, Sibilla De Conti, Luca Lionello, Tiziana Del Poggio, Maurizio Romoli"
ParaNorman,2012,"Chris Butler, Sam Fell",,Movie,Is Animation,,https://www.imdb.com//title/tt1623288/?ref_=fn_al_tt_1,"Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman, Hannah Noyes, Jack Blessing, Ranjani Brow, Michael Corbett, David Cowgill, Nicholas Guest, Emily Ricks Hahn, Bridget Hoffman, Wendy Hoffman, Holly Klein, Alicia Lagano, Scott Menville, Nick Petok, Ariel Winter, Jeremy Shada, Steve Alterman, Kirk Baily, Jacob Bertrand, Liz Bolton, Ava Benavente, Cam Clarke, Lara Cody, Caitlin Cutt, Susan Dudeck, Denise Faye, Eddie Frierson, Matthew Ford Holt, Rif Hutton, David Jolliffe, Ashley Lambert, Donna Lynn Leavy, Evan R. Mehta, Edie Mirman, Juan Pacheco, Kelsey Rose, Joshua Stern, David Zyler"
Rango,2011,Gore Verbinski,,Movie,Is Animation,,https://www.imdb.com//title/tt1192628/?ref_=fn_al_tt_1,"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Timothy Olyphant, Ray Winstone, Ian Abercrombie, Gil Birmingham, James Ward Byrkit, Claudia Black, Blake Clark, John Cothran, Patrika Darbo, George DelHoyo, Maile Flanagan, Charles Fleischer, Beth Grant, Ryan Hurst, Vincent Kartheiser, Hemky Madera, Alex Manugian, Mark 'Crash' McCreery, Joe Nunez, Christopher Lee Parson, Lew Temple, Alanna Ubach, Gore Verbinski, Kym Whitley, Keith Campbell"
Raya and the Last Dragon,2021,"Don Hall, Carlos López Estrada, Paul Briggs, John Ripa",,Movie,Is Animation,,https://www.imdb.com//title/tt5109280/?ref_=fn_al_tt_1,"Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong, Jona Xiao, Sandra Oh, Thalia Tran, Lucille Soong, Alan Tudyk, Gordon Ip, Dichen Lachman, Patti Harrison, Jon Park, Sung Kang, Sierra Katow, Ross Butler, François Chau, Paul Yen, Isabella Abiera, Deuce Basco, G.K. Bowes, Reggie De Leon, Liza Del Mundo, Terri Douglas, Tania Gunadi, Ren Hanami, Ben Hisoler, Jennie Kwan, Aleks Le, Kayla Melikian, Yabo Obien, Lucian Perez, Vyvan Pham, Griffin Puatu, Vincent Rodriguez III, Abraham Sigler, JB Tadena, Lily Villegas, Jenn Wong, Sanyee Yuan"
Shaun the Sheep,2015,"Richard Starzak, Christopher Sadler, Jay Grace, Lee Wilton, Seamus Malone, Jean-Philippe Vine, Richard Webber, Will Becher, Mike Mort, Dave Osmand, Darren Walsh, Suzy Parr",,Movie,Is Animation,,https://www.imdb.com//title/tt0983983/?ref_=fn_al_tt_1,Justin Fletcher
Shrek,2001,"Andrew Adamson, Vicky Jenson",,Movie,Is Animation,,https://www.imdb.com//title/tt0126029/?ref_=fn_al_tt_1,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith, Conrad Vernon, Jacquie Barnbrook, Guillaume Aretos, John Bisom, Matthew Gonder, Calvin Remsberg, Jean-Paul Vignon, Val Bettin"
Sing,2016,"Garth Jennings, Christophe Lourdelet",,Movie,Is Animation,,https://www.imdb.com//title/tt3470600/?ref_=fn_al_tt_1,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly, Jennifer Saunders, Jennifer Hudson, Garth Jennings, Peter Serafinowicz, Nick Kroll, Beck Bennett, Jay Pharoah, Nick Offerman, Leslie Jones, Rhea Perlman, Laraine Newman, Adam Buxton, Brad Morris, Bill Farmer, Oscar Jennings, Leo Jennings, Caspar Jennings, Asa Jennings, Carlos Alazraqui, Wes Anderson, Sara Mann, Igor Khait, David Arnott, Daamen J. Krall, Bob Bergen, Jeremy Maxwell, Doug Burch, Daniel Mora, Britt Burton, Cathy Cavadini, Jason Pace, Townsend Coleman, Gregory Perler, Abby Craden, Paige Pollack, Jim Cummings, John DeMita, Chris Renaud, Marisa De Silva, Jessica Rotter, Willow Geer, Jessica Rau, Tara Strong, Jess Harnell, Robert Taylor, Barbara Harris, Thomas Walters, Andrew Walton, Edgar Wright"
Small Foot,2018,"Karey Kirkpatrick, Jason Reisig",,Movie,Is Animation,,https://www.imdb.com//title/tt6182908/?ref_=fn_al_tt_1,"Channing Tatum, James Corden, Zendaya, Common, LeBron James, Danny DeVito, Gina Rodriguez, Yara Shahidi, Ely Henry, Jimmy Tatro, Patricia Heaton, Justin Roiland, Jack Quaid, Sarah Baker, Kelly Holden Bashar, Peter Ettinger, Jonathan Kite, Jonathan Mangum, Joel McCrary, Vanessa Ragland, Clare Sera, Luke Smith, Jessica Tuck, Rick Zieff"
Soul,2020,"Pete Docter, Kemp Powers",*,Movie,Is Animation,,https://www.imdb.com//title/tt2948372/?ref_=fn_al_tt_1,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett, Cora Champommier, Margo Hall, Daveed Diggs, Rhodessa Jones, Wes Studi, Sakina Jaffrey, Fortune Feimster, Calum Grant, Laura Mooney, Peggy Flood, Zenobia Shroff, June Squibb, Ochuwa Oghie, Jeannie Tirado, Cathy Cavadini, Dorian Lockett, Doris Burke, Ronnie Del Carmen, Esther K. Chae, Elisapie Isaac, Marcus Shelby"
The boss baby,2017,Tom McGrath,,Movie,Is Animation,,https://www.imdb.com//title/tt3874544/?ref_=fn_al_tt_1,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Tobey Maguire, Miles Bakshi, James McGrath, Conrad Vernon, ViviAnn Yee, Eric Bell Jr., David Soren, Edie Mirman, James Ryan, Walt Dohrn, Jules Winter, Nina Zoe Bakshi, Tom McGrath, Brian Hopkins, Glenn Harmon, Joseph Izzo, Chris Miller, Andrea Montana Knoll, Chloe Albrecht"
The Croods,2013,"Kirk DeMicco, Chris Sanders",*,Movie,Is Animation,,https://www.imdb.com//title/tt0481499/?ref_=fn_al_tt_1,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman, Clark Duke, Chris Sanders, Randy Thom"
The Mitchells vs The Machines,2021,"Michael Rianda, Jeff Rowe",,Movie,Is Animation,,https://www.imdb.com//title/tt7979580/?ref_=fn_al_tt_1,"Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda, Eric André, Olivia Colman, Fred Armisen, Beck Bennett, Chrissy Teigen, John Legend, Charlyne Yi, Blake Griffin, Conan O'Brien, Doug the Pug, Melissa Sturm, Doug Nicholas, Madeleine McGraw, Ellen Wightman, Sasheer Zamata, Elle Mills, Alex Hirsch, Jay Pharoah, Natalie Canizares, Jeff Rowe, Zeno Robinson, Grey Griffin, Will Allegra, Alison Rich, Natalia del Riego, Libby Thomas Dickey, Kerry Gutierrez, Todd Hansen, Lex Lang, Greg Levitan, Griffin McElroy, Caitlin McKenna, Andrew Morgado, Illya Owens, Juan Pacheco, Ashley Peldon, Jim Pirri, Michelle Ruff, Justin Shenkarow, Shane Sweet, Brittanny Tuerpe, Alana J. Webster, Jason Linere-White, Lisa Wilhoit, Adam Wylie"
The secret life of pets,2016,Chris Renaud,,Movie,Is Animation,,https://www.imdb.com//title/tt2709768/?ref_=fn_al_tt_1,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper, Albert Brooks, Lake Bell, Dana Carvey, Hannibal Buress, Bobby Moynihan, Chris Renaud, Steve Coogan, Michael Beattie, Sandra Echeverría, Jaime Camil, Kiely Renaud, Bob Bergen, Jim Cummings, Brian T. Delaney, Bill Farmer, Jess Harnell, John Kassir, Danny Mann, Jason Marsden, Mona Marshall, Laraine Newman, Jan Rabson, Ken Schretzmann, Tara Strong, Jim Ward, Tyler Werrin"
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,,Movie,Is Animation,,https://www.imdb.com//title/tt1568921/?ref_=fn_al_tt_1,"Mirai Shida, Ryunosuke Kamiki, Tatsuya Fujiwara, Tomokazu Miura, Shinobu Ôtake, Keiko Takeshita, Kirin Kiki, Shin'ichi Hatori"
The SpongBob SquarePants,2004,"Vincent Waller, Dave Cunningham, Stephen Hillenburg, Paul Tibbitt, Sherm Cohen, Adam Paloian, Alan Smart, Aaron Springer, Jay Lender, Walt Dohrn, Mark Osborne, C.H. Greenblatt, Mark Caballero, Seamus Walsh, Ennio Torresan, Mr. Lawrence, Keith Lowry, Dan Povenmire, Jonas Morganstein, Benjamin Arcand, Bob Camp, Fred Osmond, Marc Ceccarelli",,Movie,Is Animation,,https://www.imdb.com//title/tt0206512/?ref_=fn_al_tt_1,Tom Kenny
Toy Story,1995,John Lasseter,,Movie,Is Animation,,https://www.imdb.com//title/tt0114709/?ref_=fn_al_tt_1,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Rayne, Penn Jillette, Jack Angel, Spencer Aste, Greg Berg, Lisa Bradley, Kendall Cunningham, Debi Derryberry, Cody Dorkin, Bill Farmer, Craig Good, Gregory Grudt, Danielle Judovits, Sam Lasseter, Brittany Levenbrown, Sherry Lynn, Scott McAfee, Mickie McGowan, Ryan O'Donohue, Jeff Pidgeon, Patrick Pinney, Phil Proctor, Jan Rabson, Joe Ranft, Andrew Stanton, Shane Sweet"
Up,2009,"Pete Docter, Bob Peterson",,Movie,Is Animation,,https://www.imdb.com//title/tt1049413/?ref_=fn_al_tt_1,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft, John Ratzenberger, David Kaye, Elie Docter, Jeremy Leary, Mickie McGowan, Danny Mann, Donald Fullilove, Jess Harnell, Josh Cooley, Pete Docter, Mark Andrews, Bob Bergen, Brenda Chapman, Emma Coats, John Cygan, Paul Eiding, Tony Fucile, Teresa Ganzel, Sherry Lynn, Laraine Newman, Teddy Newton, Jeff Pidgeon, Valerie LaPointe, Jan Rabson, Bob Scott"
Wall-E,2008,Andrew Stanton,*,Movie,Is Animation,,https://www.imdb.com//title/tt0910970/?ref_=fn_al_tt_1,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, MacInTalk, John Ratzenberger, Kathy Najimy, Sigourney Weaver"
Weathering With You,2019,Makoto Shinkai,,Movie,Is Animation,,https://www.imdb.com//title/tt9426210/?ref_=fn_al_tt_1,"Kotarô Daigo, Nana Mori, Tsubasa Honda, Sakura Kiryu, Sei Hiraizumi, Yûki Kaji, Sumi Shimamoto, Moe Katsuragi, Ryohei Kimura, Kana Hanazawa, Ayane Sakura, Kana Ichinose, Masako Nozawa, Hidekatsu Shibata, Ryunosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki, Kanon Tani, Chieko Baisho, Shun Oguri, Brandon Engman, Ashley Boettcher, Lee Pace, Alison Brie"
